#distance(cm)	 time(ms) 
33.728	0.0
33.184000000000005	15.0
33.031000000000006	30.0
32.011	46.0
31.008000000000003	61.0
30.787000000000003	77.0
29.325000000000003	93.0
29.138	108.0
28.866000000000003	123.0
27.863000000000003	139.0
28.373	155.0
27.251	171.0
26.537000000000003	186.0
25.534000000000002	201.0
25.687	217.0
24.242	232.0
22.984	248.0
21.505000000000003	264.0
20.808	279.0
21.318	294.0
20.961000000000002	310.0
19.176000000000002	326.0
18.564	342.0
18.275000000000002	357.0
17.51	372.0
15.946000000000002	388.0
15.691	403.0
14.926000000000002	418.0
14.229000000000001	434.0
13.957	449.0
12.546000000000001	464.0
12.308000000000002	481.0
11.747000000000002	496.0
11.288	512.0
10.574000000000002	527.0
10.727	542.0
9.962000000000002	559.0
10.217	574.0
9.673	589.0
9.316	605.0
9.316	620.0
9.707	636.0
10.319	652.0
9.758000000000001	667.0
10.523000000000001	683.0
10.778	699.0
10.778	714.0
11.339	730.0
12.597000000000001	746.0
12.750000000000002	761.0
13.753	777.0
13.957	792.0
15.895000000000001	809.0
15.283000000000001	824.0
17.255000000000003	839.0
16.796000000000003	856.0
17.969	872.0
18.785	888.0
20.502000000000002	905.0
21.76	922.0
21.046000000000003	939.0
21.114	955.0
23.171000000000003	972.0
24.14	989.0
24.752000000000002	1005.0
26.435000000000002	1022.0
26.044	1039.0
27.353	1055.0
29.291	1072.0
29.682000000000002	1089.0
31.008000000000003	1105.0
32.776	1122.0
33.286	1139.0
34.646	1156.0
35.904	1172.0
225.18200000000002	1201.0
102.272	1211.0
37.434000000000005	1223.0
37.383	1240.0
38.947	1257.0
40.664	1273.0
121.02300000000001	1295.0
92.429	1310.0
230.197	1335.0
105.91000000000001	1345.0
104.95800000000001	1361.0
104.55000000000001	1378.0
103.887	1395.0
109.46300000000001	1412.0
105.876	1428.0
102.61200000000001	1444.0
106.98100000000001	1462.0
104.397	1478.0
106.165	1495.0
105.31500000000001	1511.0
108.34100000000001	1528.0
107.79700000000001	1545.0
107.79700000000001	1561.0
109.718	1579.0
104.805	1595.0
107.72900000000001	1611.0
229.85700000000003	1635.0
101.96600000000001	1645.0
102.884	1662.0
100.742	1679.0
103.037	1695.0
99.58600000000001	1712.0
100.81	1728.0
100.84400000000001	1745.0
42.143	1758.0
40.936	1775.0
40.63	1792.0
39.559000000000005	1808.0
100.045	1828.0
106.284	1845.0
224.80800000000002	1869.0
37.332	1876.0
36.363	1892.0
34.595000000000006	1908.0
33.235	1925.0
31.875000000000004	1942.0
30.906000000000002	1958.0
29.580000000000002	1975.0
29.478	1991.0
28.628000000000004	2008.0
27.557000000000002	2025.0
26.129	2041.0
25.177000000000003	2058.0
25.126	2074.0
24.650000000000002	2091.0
22.270000000000003	2108.0
22.117	2124.0
20.859	2141.0
20.298000000000002	2157.0
18.938000000000002	2174.0
17.969	2191.0
16.813000000000002	2207.0
16.456	2223.0
15.691	2238.0
15.385000000000002	2253.0
14.688	2270.0
13.566	2285.0
12.461	2300.0
12.257000000000001	2316.0
11.339	2331.0
11.118	2348.0
10.217	2363.0
10.217	2378.0
9.979000000000001	2394.0
8.857000000000001	2409.0
8.449	2425.0
8.296000000000001	2441.0
8.5	2456.0
8.041	2472.0
8.755	2487.0
8.041	2503.0
7.259	2519.0
7.65	2534.0
8.041	2549.0
7.531000000000001	2566.0
7.582000000000001	2581.0
8.296000000000001	2596.0
8.5	2612.0
8.296000000000001	2628.0
9.01	2644.0
9.911000000000001	2659.0
10.370000000000001	2674.0
10.319	2691.0
10.421000000000001	2706.0
11.832	2721.0
12.104000000000001	2737.0
13.056000000000001	2753.0
13.260000000000002	2768.0
13.923000000000002	2784.0
15.028	2800.0
16.150000000000002	2816.0
15.997000000000002	2831.0
17.119	2846.0
17.459	2864.0
18.632	2880.0
19.397000000000002	2896.0
20.043000000000003	2914.0
20.91	2930.0
20.808	2947.0
21.522000000000002	2963.0
23.392000000000003	2980.0
23.749000000000002	2997.0
23.545	3013.0
24.871000000000002	3031.0
25.891000000000002	3047.0
25.789	3063.0
25.942	3080.0
25.942	3097.0
