#distance(cm)	 time(ms) 
31.807000000000002	0.0
33.065000000000005	15.0
33.932	31.0
34.68	47.0
35.853	62.0
36.516000000000005	77.0
37.927	94.0
38.896	109.0
38.947	125.0
38.539	140.0
38.845000000000006	156.0
39.712	172.0
110.82300000000001	191.0
115.94000000000001	208.0
116.34800000000001	223.0
110.245	238.0
115.83800000000001	255.0
111.45200000000001	270.0
nan	473.0
33.694	476.0
33.983000000000004	479.0
33.881	482.0
33.779	485.0
34.085	488.0
33.116	501.0
32.453	519.0
32.215	535.0
31.144000000000002	552.0
30.447000000000003	568.0
29.427000000000003	584.0
29.019000000000002	602.0
28.254	618.0
27.506	635.0
27.302000000000003	651.0
26.129	668.0
25.721	685.0
25.364	701.0
23.987000000000002	717.0
24.089000000000002	734.0
22.831000000000003	751.0
22.576	768.0
21.199	784.0
21.505000000000003	800.0
20.553	817.0
20.043000000000003	834.0
19.788	851.0
19.533	867.0
19.329	883.0
19.125	901.0
19.227	917.0
19.788	934.0
19.533	950.0
19.737000000000002	967.0
20.196	984.0
21.063000000000002	1000.0
21.114	1016.0
21.505000000000003	1034.0
22.117	1050.0
22.627000000000002	1067.0
23.086000000000002	1084.0
23.171000000000003	1100.0
24.242	1117.0
24.803	1133.0
24.803	1151.0
25.636000000000003	1167.0
26.231	1183.0
27.047	1201.0
26.69	1217.0
27.149	1234.0
27.71	1250.0
28.05	1267.0
28.509	1284.0
28.917	1300.0
30.277	1317.0
30.175	1334.0
30.549000000000003	1350.0
30.838	1367.0
31.144000000000002	1384.0
31.399	1400.0
32.062000000000005	1417.0
32.674	1433.0
32.81	1451.0
32.504000000000005	1467.0
33.014	1483.0
32.215	1500.0
32.623000000000005	1517.0
32.572	1534.0
32.504000000000005	1550.0
32.419000000000004	1566.0
31.909000000000002	1584.0
32.198	1600.0
31.603	1617.0
31.399	1633.0
31.195000000000004	1650.0
30.532000000000004	1667.0
30.277	1683.0
30.022000000000002	1699.0
30.294	1716.0
29.869000000000003	1733.0
29.121000000000002	1750.0
28.764000000000003	1766.0
28.526000000000003	1782.0
27.999000000000002	1800.0
27.608	1816.0
27.608	1833.0
27.251	1849.0
26.639000000000003	1866.0
26.078000000000003	1883.0
25.483	1899.0
24.701	1916.0
24.922	1932.0
23.783	1949.0
22.729000000000003	1966.0
22.117	1982.0
22.321	1999.0
21.216	2015.0
20.893	2032.0
19.533	2049.0
19.788	2065.0
18.768	2081.0
18.105	2099.0
17.714000000000002	2115.0
17.255000000000003	2132.0
17.255000000000003	2148.0
16.915000000000003	2164.0
16.184	2181.0
15.538	2196.0
15.776000000000002	2211.0
15.64	2227.0
15.98	2243.0
15.538	2259.0
15.589	2274.0
15.232000000000001	2289.0
16.235	2306.0
15.589	2321.0
16.643	2336.0
16.898	2352.0
16.864	2368.0
17.051000000000002	2384.0
17.357000000000003	2400.0
18.122	2416.0
17.612000000000002	2434.0
18.836000000000002	2450.0
18.785	2466.0
19.125	2483.0
19.533	2500.0
19.89	2517.0
20.247	2533.0
20.655	2549.0
21.454	2567.0
21.862000000000002	2583.0
21.811	2600.0
22.1	2617.0
22.627000000000002	2633.0
23.443	2650.0
23.375	2666.0
23.630000000000003	2684.0
24.089000000000002	2700.0
24.446	2716.0
24.344	2733.0
24.548000000000002	2750.0
24.905	2767.0
25.432000000000002	2783.0
25.551000000000002	2800.0
25.279000000000003	2817.0
25.993000000000002	2833.0
26.146	2849.0
26.129	2867.0
25.772000000000002	2883.0
25.942	2900.0
26.384	2916.0
26.282000000000004	2933.0
25.823	2950.0
25.891000000000002	2966.0
25.772000000000002	2983.0
25.976000000000003	3000.0
25.840000000000003	3016.0
25.721	3033.0
25.534000000000002	3049.0
25.636000000000003	3067.0
25.364	3083.0
25.228	3099.0
24.990000000000002	3116.0
24.854000000000003	3132.0
24.038	3149.0
23.885	3166.0
23.188000000000002	3182.0
22.882	3199.0
23.273000000000003	3216.0
22.610000000000003	3232.0
22.270000000000003	3249.0
22.321	3265.0
21.114	3282.0
20.757	3299.0
20.791	3315.0
20.383000000000003	3332.0
19.992	3348.0
19.584000000000003	3366.0
19.227	3382.0
18.87	3398.0
18.53	3415.0
18.173000000000002	3432.0
18.258000000000003	3448.0
17.51	3465.0
17.204	3481.0
17.119	3499.0
16.796000000000003	3515.0
16.643	3530.0
16.541	3546.0
16.048000000000002	3561.0
16.031000000000002	3578.0
16.898	3593.0
16.541	3608.0
16.643	3624.0
16.796000000000003	3640.0
16.949	3655.0
17.153000000000002	3671.0
17.357000000000003	3687.0
17.612000000000002	3704.0
17.867	3721.0
18.122	3737.0
18.411	3754.0
18.683	3771.0
18.938000000000002	3787.0
19.193	3804.0
19.431	3820.0
19.227	3838.0
20.349	3854.0
20.553	3870.0
20.706000000000003	3888.0
21.42	3904.0
21.607000000000003	3921.0
20.961000000000002	3937.0
21.063000000000002	3954.0
21.352	3971.0
21.097	3987.0
21.267000000000003	4003.0
22.168000000000003	4021.0
21.556	4037.0
22.117	4054.0
22.219	4070.0
21.811	4087.0
22.423000000000002	4104.0
22.015	4120.0
22.474	4137.0
21.913	4154.0
22.015	4170.0
22.423000000000002	4187.0
22.372	4203.0
22.627000000000002	4221.0
22.219	4237.0
21.709000000000003	4253.0
21.607000000000003	4270.0
21.811	4287.0
22.219	4304.0
21.658	4320.0
21.114	4336.0
21.301000000000002	4354.0
21.267000000000003	4370.0
21.148000000000003	4386.0
20.995	4403.0
20.332	4420.0
20.349	4437.0
21.063000000000002	4453.0
20.91	4469.0
20.247	4487.0
20.604000000000003	4503.0
19.992	4520.0
20.247	4536.0
19.584000000000003	4552.0
19.839000000000002	4570.0
