#distance(cm)	 time(ms) 
19.125	0.0
19.431	15.0
19.278000000000002	32.0
18.768	47.0
19.125	62.0
18.666	78.0
18.972	94.0
19.125	110.0
18.717000000000002	125.0
18.768	140.0
19.125	157.0
18.819000000000003	172.0
18.819000000000003	187.0
18.768	203.0
18.717000000000002	218.0
19.023	234.0
18.479000000000003	250.0
18.326	265.0
18.122	281.0
17.782	297.0
18.003	312.0
17.714000000000002	328.0
17.799000000000003	343.0
17.357000000000003	358.0
16.337	375.0
16.592000000000002	389.0
15.232000000000001	404.0
15.742	420.0
15.232000000000001	435.0
14.722000000000001	452.0
15.13	467.0
16.133000000000003	482.0
16.898	499.0
17.204	514.0
18.615000000000002	530.0
17.663	547.0
18.666	564.0
18.666	581.0
17.204	597.0
34.731	614.0
14.977	630.0
14.722000000000001	646.0
12.699000000000002	662.0
12.597000000000001	677.0
11.628	692.0
12.036000000000001	708.0
11.577	724.0
11.22	739.0
11.169	755.0
11.475000000000001	770.0
11.118	786.0
10.931000000000001	802.0
10.370000000000001	817.0
10.778	833.0
11.084000000000001	848.0
10.013	864.0
9.911000000000001	880.0
10.166	895.0
10.217	910.0
10.268	927.0
9.571000000000002	942.0
10.574000000000002	957.0
10.421000000000001	973.0
10.472000000000001	989.0
10.778	1005.0
11.135000000000002	1020.0
11.645000000000001	1035.0
11.934000000000001	1052.0
12.444	1067.0
12.937000000000001	1082.0
13.617	1098.0
13.651000000000002	1114.0
15.113000000000001	1129.0
15.283000000000001	1145.0
16.337	1160.0
17.051000000000002	1177.0
16.388	1193.0
17.459	1208.0
18.411	1226.0
18.768	1242.0
19.839000000000002	1258.0
21.352	1275.0
45.781000000000006	1293.0
21.964000000000002	1309.0
23.035	1325.0
23.987000000000002	1342.0
24.191000000000003	1359.0
24.446	1375.0
25.772000000000002	1392.0
26.69	1409.0
26.435000000000002	1425.0
26.231	1442.0
27.081000000000003	1459.0
27.183000000000003	1476.0
27.693	1492.0
28.305000000000003	1508.0
29.121000000000002	1526.0
30.022000000000002	1542.0
31.348000000000003	1559.0
31.790000000000003	1576.0
32.198	1592.0
32.606	1609.0
33.422000000000004	1625.0
33.762	1642.0
35.343	1659.0
35.598000000000006	1675.0
36.958000000000006	1693.0
106.84500000000001	1713.0
145.095	1732.0
81.345	1745.0
79.93400000000001	1761.0
79.798	1778.0
80.546	1795.0
162.86	1817.0
100.861	1829.0
111.027	1846.0
99.144	1863.0
34.068000000000005	1875.0
32.453	1891.0
32.504000000000005	1909.0
31.705000000000002	1925.0
30.430000000000003	1942.0
29.614	1958.0
29.325000000000003	1974.0
28.815	1992.0
28.407000000000004	2008.0
27.999000000000002	2024.0
27.71	2041.0
27.642000000000003	2058.0
26.843000000000004	2075.0
25.976000000000003	2091.0
25.687	2107.0
25.687	2124.0
24.837000000000003	2141.0
24.378	2158.0
24.038	2174.0
24.038	2190.0
23.477	2208.0
23.018	2224.0
22.627000000000002	2241.0
21.301000000000002	2257.0
20.842000000000002	2273.0
20.689	2291.0
19.873	2307.0
19.431	2323.0
19.380000000000003	2340.0
18.360000000000003	2357.0
17.612000000000002	2374.0
17.612000000000002	2390.0
17.153000000000002	2406.0
16.745	2423.0
15.946000000000002	2439.0
15.589	2455.0
15.64	2470.0
15.283000000000001	2485.0
15.028	2501.0
14.620000000000001	2517.0
